PWM,Corriente_ADC,Corriente_real(A)
15,36,0.055
15,35,0.055
15,35,0.055
15,35,0.055
15,35,0.055
15,34,0.055
15,33,0.055
15,33,0.055
15,33,0.055
15,32,0.055
15,32,0.055
15,32,0.055
15,31,0.055
15,31,0.055
15,31,0.055
15,31,0.055
15,31,0.055
15,31,0.055
15,31,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,29,0.055
15,29,0.055
15,29,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
15,30,0.055
45,51,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
45,50,0.13
