EV9,PWM,Presion_kPa,Fuerza_N,Corriente_A
OFF,0,0.0,0.515,0.0
OFF,0,0.0,0.52,0.0
OFF,0,0.0,0.457,0.0
OFF,0,0.0,0.436,0.0
OFF,0,0.0,0.454,0.0
OFF,0,0.0,0.462,0.0
OFF,0,0.0,0.478,0.0
OFF,15,0.0,0.446,0.0
OFF,15,0.0,0.465,0.0
OFF,15,0.0,0.442,0.0
OFF,15,0.0,0.423,0.0
OFF,15,0.0,0.435,0.0
OFF,30,0.0,0.447,0.0
OFF,30,0.0,0.487,0.007
OFF,30,0.0,0.502,0.01
OFF,30,0.0,0.497,0.013
OFF,30,0.0,0.476,0.017
OFF,30,0.0,0.465,0.02
OFF,45,0.18,0.464,0.027
OFF,45,0.55,0.725,0.033
OFF,45,0.56,0.742,0.037
OFF,45,0.57,0.722,0.04
OFF,45,0.58,0.74,0.043
OFF,45,0.58,0.761,0.047
OFF,45,0.84,0.759,0.05
OFF,60,1.52,0.949,0.053
OFF,60,2.0,1.026,0.057
OFF,60,2.08,0.984,0.063
OFF,60,2.14,0.993,0.067
OFF,60,2.43,1.011,0.07
OFF,60,2.39,0.986,0.07
OFF,75,2.86,1.042,0.077
OFF,75,3.19,1.272,0.08
OFF,75,3.17,1.26,0.083
OFF,75,3.66,1.239,0.083
OFF,75,3.5,1.226,0.087
OFF,60,3.38,1.284,0.087
OFF,75,3.3,1.232,0.087
OFF,75,3.5,1.231,0.09
OFF,75,3.38,1.237,0.09
OFF,75,3.56,1.228,0.09
OFF,75,3.43,1.216,0.093
OFF,90,3.59,1.304,0.093
OFF,90,3.7,1.381,0.097
OFF,90,3.78,1.404,0.097
OFF,90,4.08,1.393,0.1
OFF,90,4.05,1.39,0.1
OFF,105,4.02,1.379,0.104
OFF,105,4.51,1.505,0.107
OFF,105,4.6,1.512,0.11
OFF,120,4.91,1.578,0.114
OFF,120,5.38,1.636,0.114
OFF,120,5.46,1.596,0.117
OFF,120,5.52,1.583,0.117
OFF,135,5.56,1.715,0.12
OFF,135,5.58,1.728,0.124
OFF,135,5.6,1.75,0.124
OFF,135,5.61,1.741,0.127
OFF,135,5.88,1.705,0.127
OFF,120,5.81,1.695,0.127
OFF,135,5.76,1.69,0.127
OFF,135,5.47,1.707,0.13
OFF,135,5.78,1.67,0.13
OFF,135,5.99,1.721,0.13
OFF,135,6.14,1.697,0.134
OFF,135,5.99,1.712,0.134
OFF,135,5.89,1.715,0.134
OFF,150,5.81,1.771,0.134
OFF,150,5.76,1.886,0.137
OFF,150,5.98,1.872,0.137
OFF,150,5.63,1.846,0.137
OFF,150,5.88,1.881,0.137
OFF,150,6.07,1.862,0.14
OFF,165,6.44,1.88,0.14
OFF,165,6.46,1.982,0.14
OFF,165,6.72,1.967,0.144
OFF,165,6.9,1.927,0.144
OFF,165,7.03,1.984,0.144
OFF,165,6.87,1.984,0.147
OFF,180,7.26,1.958,0.147
OFF,180,7.28,2.014,0.15
OFF,180,7.55,2.003,0.15
OFF,180,7.73,2.005,0.154
OFF,180,7.61,2.016,0.154
OFF,180,7.78,2.014,0.154
OFF,195,7.9,2.009,0.157
OFF,195,7.98,2.112,0.157
OFF,195,7.79,2.106,0.157
OFF,195,7.9,2.11,0.16
OFF,195,8.24,2.107,0.16
OFF,210,8.22,2.061,0.164
OFF,210,8.46,2.163,0.164
OFF,210,8.62,2.166,0.164
OFF,225,8.99,2.246,0.167
OFF,225,9.0,2.343,0.17
OFF,225,9.26,2.3,0.17
OFF,225,9.18,2.27,0.17
OFF,225,8.88,2.267,0.174
OFF,225,8.92,2.295,0.174
OFF,225,9.2,2.264,0.174
OFF,225,9.4,2.276,0.177
OFF,225,9.28,2.344,0.177
OFF,0,0.0,0.03,0.0
OFF,0,0.0,0.036,0.0
OFF,0,0.0,0.038,0.0
OFF,0,0.0,0.036,0.0
OFF,0,0.0,0.043,0.0
OFF,0,0.0,0.065,0.0
OFF,0,0.0,0.078,0.0
OFF,0,0.0,0.066,0.0
OFF,0,0.0,0.063,0.0
OFF,0,0.0,0.061,0.0
OFF,0,0.0,0.07,0.0
OFF,15,0.0,0.062,0.0
OFF,15,0.0,0.015,0.0
OFF,15,0.0,0.032,0.0
OFF,15,0.0,0.044,0.0
OFF,15,0.0,0.033,0.0
OFF,15,0.0,0.028,0.0
OFF,15,0.0,0.041,0.0
OFF,15,0.0,0.042,0.0
OFF,15,0.0,0.036,0.0
OFF,30,0.0,0.055,0.007
OFF,30,0.0,0.13,0.01
OFF,30,0.0,0.132,0.013
OFF,30,0.0,0.149,0.017
OFF,30,0.0,0.142,0.02
OFF,30,0.0,0.146,0.023
OFF,30,0.18,0.155,0.023
OFF,45,0.55,0.265,0.03
OFF,45,0.82,0.399,0.033
OFF,45,0.75,0.4,0.04
OFF,45,0.95,0.413,0.043
OFF,45,1.1,0.414,0.047
OFF,45,1.2,0.423,0.047
OFF,45,1.27,0.422,0.05
OFF,60,1.32,0.427,0.053
OFF,60,1.6,0.687,0.06
OFF,60,2.31,0.689,0.063
OFF,60,2.3,0.729,0.067
OFF,60,2.29,0.718,0.067
OFF,60,2.29,0.709,0.07
OFF,60,2.54,0.717,0.073
OFF,60,2.46,0.718,0.073
OFF,75,2.91,0.919,0.077
OFF,75,2.97,0.925,0.08
OFF,75,3.01,0.94,0.083
OFF,75,3.3,0.907,0.087
OFF,75,3.5,0.904,0.087
OFF,75,3.64,0.918,0.09
OFF,75,3.73,0.905,0.09
OFF,75,3.8,0.896,0.09
OFF,75,3.6,0.895,0.093
OFF,75,3.7,0.911,0.093
OFF,90,4.03,1.081,0.093
OFF,90,4.26,1.084,0.097
OFF,90,4.17,1.083,0.097
OFF,90,4.36,1.08,0.1
OFF,90,4.24,1.068,0.1
OFF,90,4.16,1.076,0.1
OFF,105,4.1,1.069,0.104
OFF,105,4.56,1.172,0.107
OFF,105,4.63,1.159,0.11
OFF,105,4.94,1.153,0.11
OFF,105,4.9,1.163,0.114
OFF,105,4.87,1.149,0.114
OFF,105,5.1,1.135,0.114
OFF,120,5.52,1.163,0.117
OFF,120,5.56,1.297,0.117
OFF,120,5.58,1.281,0.12
OFF,120,5.85,1.254,0.12
OFF,120,5.79,1.248,0.124
OFF,120,5.75,1.262,0.124
OFF,120,5.72,1.28,0.124
OFF,135,5.95,1.414,0.127
OFF,135,6.11,1.416,0.127
OFF,135,6.22,1.389,0.127
