Tiempo_ms,Distancia_mm,Fuerza_N
7683,33.0,0.794
7788,35.0,0.7779
7895,35.0,0.6601
8000,36.0,0.4252
8105,35.0,0.1721
8212,34.0,0.0519
8317,36.0,0.0386
8423,36.0,0.0402
8528,36.0,0.0525
8635,36.0,0.0773
8740,35.0,0.0964
8846,35.0,0.1325
8951,34.0,0.191
9058,36.0,0.3487
9163,35.0,0.5002
9269,36.0,0.5817
9374,34.0,0.5276
9481,34.0,0.3405
9586,35.0,0.2095
9692,36.0,0.1254
9798,35.0,0.0848
9904,34.0,0.0872
10009,34.0,0.1034
10115,35.0,0.1206
10221,34.0,0.1554
10327,36.0,0.2442
10432,34.0,0.4138
10539,37.0,0.4954
10644,35.0,0.4475
10749,35.0,0.3297
10856,34.0,0.19
10961,34.0,0.1206
11067,34.0,0.085
11172,34.0,0.0739
11279,35.0,0.0823
11384,34.0,0.0881
11490,34.0,0.1005
11596,34.0,0.1707
11702,35.0,0.2389
11807,35.0,0.3395
11914,33.0,0.3976
12019,36.0,0.3994
12125,36.0,0.3686
12231,37.0,0.2498
12337,34.0,0.1543
12442,35.0,0.1044
12548,35.0,0.0704
12654,34.0,0.0803
12760,36.0,0.0997
12865,37.0,0.1126
12972,33.0,0.1205
13077,34.0,0.1774
13182,36.0,0.2647
13289,35.0,0.3639
13394,35.0,0.4665
13500,36.0,0.5053
13606,36.0,0.4363
13712,35.0,0.2912
13817,37.0,0.1711
13924,34.0,0.096
14029,35.0,0.0544
14135,35.0,0.057
14240,35.0,0.0691
14347,35.0,0.0961
14452,35.0,0.1026
14558,34.0,0.1306
14664,36.0,0.1648
14770,37.0,0.2246
14875,35.0,0.3651
14982,36.0,0.4683
15087,34.0,0.545
15193,34.0,0.5806
15299,35.0,0.4515
15405,35.0,0.2566
15510,34.0,0.1553
15616,33.0,0.0917
15722,35.0,0.0627
15827,35.0,0.0555
15933,34.0,0.0538
16039,34.0,0.0589
16145,36.0,0.0797
16250,36.0,0.1371
16357,36.0,0.2009
16462,34.0,0.2643
16568,36.0,0.3705
16674,36.0,0.4615
16780,33.0,0.4742
16885,35.0,0.4556
16992,31.0,0.4223
17097,35.0,0.292
17203,35.0,0.1494
17308,34.0,0.0856
17415,38.0,0.0588
17520,36.0,0.0577
17626,33.0,0.0622
17732,34.0,0.0615
17838,36.0,0.0762
17943,35.0,0.0975
18050,35.0,0.1577
18155,35.0,0.2494
18260,36.0,0.3769
18367,33.0,0.4908
18472,36.0,0.5397
18578,37.0,0.5382
18683,35.0,0.5064
18790,34.0,0.4289
18895,36.0,0.2457
19001,35.0,0.1563
19107,33.0,0.1226
19213,35.0,0.0971
19318,35.0,0.0709
19425,33.0,0.0543
19530,35.0,0.0493
19636,35.0,0.0531
19742,34.0,0.0626
19848,34.0,0.0966
19953,35.0,0.1732
20060,36.0,0.3307
20165,33.0,0.5025
20271,35.0,0.5929
20376,35.0,0.584
20483,34.0,0.5635
20588,36.0,0.5165
20694,38.0,0.4093
20800,37.0,0.2652
20905,34.0,0.2091
21011,34.0,0.1679
21117,35.0,0.1287
7732,35.0,0.6341
7837,35.0,0.7136
7943,37.0,0.7087
8049,36.0,0.6907
8155,36.0,0.6249
8260,35.0,0.4852
8366,36.0,0.3292
8472,36.0,0.2782
8578,36.0,0.246
8683,35.0,0.2476
8788,35.0,0.26
8895,36.0,0.2699
9000,36.0,0.298
9106,36.0,0.348
9211,37.0,0.4927
9318,35.0,0.6009
9423,36.0,0.6926
9529,36.0,0.6901
9635,35.0,0.6516
9741,31.0,0.616
9846,33.0,0.5129
9952,36.0,0.3702
10058,36.0,0.2745
10164,36.0,0.2189
