Tiempo_ms,Distancia_mm,Fuerza_N
7665,34.0,0.7027
7771,36.0,1.2216
7876,34.0,1.7745
7982,34.0,1.8738
8088,34.0,1.089
8194,34.0,0.4083
8299,35.0,0.1165
8404,35.0,0.053
8511,35.0,0.0701
8616,36.0,0.2936
8722,36.0,0.5941
8828,37.0,0.9059
8934,35.0,1.2113
9039,36.0,1.5495
9145,34.0,1.7179
9251,34.0,1.8585
9357,36.0,1.7046
9462,35.0,0.8095
9568,34.0,0.2806
9674,36.0,-0.0002
9780,34.0,-0.0497
9885,34.0,-0.0555
9991,36.0,-0.0442
10097,37.0,0.0007
10203,36.0,0.1227
10308,35.0,0.5516
10415,36.0,1.1097
10520,35.0,1.323
10626,36.0,1.3939
10732,33.0,1.2831
10838,35.0,0.7873
10943,34.0,0.3616
11049,34.0,0.0719
11155,36.0,-0.0167
11260,37.0,-0.0298
11367,36.0,-0.0323
11472,35.0,-0.016
11578,34.0,0.1212
11684,36.0,0.593
11790,36.0,1.0056
11895,33.0,1.3438
12002,36.0,1.4946
12107,36.0,1.4993
12213,35.0,1.4776
12319,35.0,1.351
12425,36.0,0.807
12530,36.0,0.2651
12636,36.0,-0.0237
12742,34.0,-0.0868
12848,37.0,-0.0958
12953,36.0,-0.064
13060,37.0,0.0463
13165,34.0,0.3122
13271,34.0,0.7627
13377,36.0,1.1708
13483,36.0,1.3819
13588,34.0,1.5048
13694,36.0,1.4703
13800,37.0,1.1283
13905,37.0,0.589
14012,34.0,0.1439
14117,36.0,-0.0365
14223,33.0,-0.0811
14329,36.0,-0.0723
14435,34.0,-0.0411
14540,34.0,0.0138
14646,34.0,0.1656
14752,35.0,0.4787
14858,37.0,1.2282
14963,34.0,1.3996
15070,34.0,1.3207
15175,34.0,1.1629
15281,35.0,0.9907
15387,36.0,0.5881
15493,36.0,0.1658
15598,35.0,0.0094
15705,36.0,-0.0435
15810,34.0,-0.0832
15916,37.0,-0.0644
16022,37.0,-0.0349
16128,36.0,0.0146
16233,35.0,0.1434
16339,38.0,0.3925
16445,34.0,0.7669
16550,34.0,1.1583
16657,33.0,1.487
16762,34.0,1.5235
16868,35.0,1.4518
16973,34.0,1.3521
17080,35.0,0.8122
17185,37.0,0.1658
17291,35.0,-0.0215
17397,35.0,-0.084
17503,37.0,-0.1199
17608,36.0,-0.1064
17715,35.0,-0.0781
17820,35.0,-0.0162
17926,37.0,0.2101
18032,37.0,0.6736
18138,34.0,1.1007
18243,34.0,1.4703
18350,34.0,1.6907
18455,34.0,1.6874
18561,35.0,1.5487
18667,35.0,1.3219
18772,36.0,0.9448
18878,35.0,0.2476
18984,32.0,0.0351
19090,36.0,-0.0467
19195,34.0,-0.0838
19302,36.0,-0.0953
19407,36.0,-0.0538
19513,37.0,0.0091
19618,37.0,0.1509
19725,35.0,0.5094
19830,36.0,1.2123
19936,36.0,1.4634
20042,34.0,1.4898
20148,35.0,1.3459
20253,37.0,1.0597
20360,35.0,0.7071
20465,34.0,0.3348
20571,34.0,0.0988
20677,35.0,-0.0625
20783,36.0,-0.0956
20888,34.0,-0.0918
20995,35.0,-0.0734
21100,35.0,-0.0231
21206,35.0,0.2879
21312,35.0,0.7094
21417,36.0,1.0885
21523,35.0,1.3188
21629,35.0,1.4676
21735,36.0,1.3709
21840,37.0,1.2408
21946,36.0,1.0454
22052,35.0,0.5131
22158,34.0,0.2081
7651,36.0,0.0099
7756,35.0,-0.3088
7863,36.0,-0.3388
7968,34.0,-0.3288
8074,35.0,-0.2789
8179,35.0,-0.1503
8286,36.0,0.0907
8391,34.0,0.5123
8497,34.0,0.7119
8602,36.0,0.7869
8709,37.0,0.7949
8814,33.0,0.7169
8920,36.0,0.4418
9026,38.0,0.147
9132,35.0,-0.0812
9237,36.0,-0.2219
9342,36.0,-0.3361
9449,34.0,-0.3616
9554,35.0,-0.3514
9660,36.0,-0.2697
9766,37.0,0.0781
9872,33.0,0.4705
9977,34.0,0.7598
10083,36.0,0.9556
10189,35.0,0.996
10295,36.0,0.8747
10400,36.0,0.6168
10507,36.0,0.2224
10612,35.0,-0.1821
10718,37.0,-0.3399
10824,36.0,-0.3608
10930,35.0,-0.349
11035,35.0,-0.331
11141,34.0,-0.2778
11247,35.0,-0.1514
11353,33.0,0.0648
11458,36.0,0.2998
11565,37.0,0.7676
11670,36.0,0.9819
11776,36.0,1.0717
11882,35.0,1.0642
11987,35.0,0.9462
12093,35.0,0.8064
12199,34.0,0.5553
12305,37.0,0.1001
12410,36.0,-0.1651
12517,36.0,-0.3066
12622,35.0,-0.3536
12728,36.0,-0.3644
12833,36.0,-0.3507
12940,33.0,-0.2641
13045,37.0,-0.1326
13151,36.0,0.0968
13257,35.0,0.4096
13363,35.0,0.9188
13468,33.0,1.1064
13575,36.0,1.1528
13680,34.0,1.1229
13786,34.0,1.0409
13892,36.0,0.9848
13998,36.0,0.8765
14103,36.0,0.6187
14210,34.0,0.2138
14315,35.0,-0.2041
14420,36.0,-0.2998
14526,35.0,-0.3458
14632,39.0,-0.365
14738,35.0,-0.3526
14843,35.0,-0.2527
14950,35.0,-0.048
15055,35.0,0.2214
15161,36.0,0.7337
15267,36.0,1.0255
15373,36.0,1.2461
15478,36.0,1.3541
15585,36.0,1.2851
15690,36.0,1.1402
15796,34.0,0.8692
15902,34.0,0.4423
16008,35.0,0.0503
16113,36.0,-0.2598
16220,35.0,-0.3465
16325,36.0,-0.3753
16431,34.0,-0.3574
16536,35.0,-0.2354
16643,35.0,-0.0071
16748,36.0,0.3902
16854,35.0,0.9325
16960,33.0,1.2106
17065,35.0,1.3329
17171,36.0,1.3029
17277,35.0,1.1226
17383,36.0,0.6118
17488,34.0,0.2179
17595,35.0,-0.0136
17700,33.0,-0.1355
17806,35.0,-0.2173
17912,36.0,-0.2592
18018,36.0,-0.2346
18123,35.0,-0.1937
18230,36.0,-0.0228
18335,36.0,0.4648
18441,33.0,0.8593
18547,36.0,1.1739
18653,37.0,1.3207
18758,38.0,1.3004
18864,35.0,1.1272
18970,36.0,0.8835
19076,34.0,0.5901
19181,34.0,0.3012
19288,36.0,-0.0072
19393,34.0,-0.2078
19499,36.0,-0.2971
19605,37.0,-0.3527
19710,36.0,-0.3566
19816,37.0,-0.299
19922,36.0,-0.168
20028,37.0,0.0922
20133,35.0,0.6112
20240,34.0,0.9203
20345,35.0,1.1024
20451,35.0,1.1744
20557,35.0,1.1251
20663,35.0,0.9895
20768,36.0,0.7658
20875,36.0,0.4088
20980,36.0,-0.0772
21086,33.0,-0.2571
21191,34.0,-0.3306
7667,35.0,0.8684
7774,35.0,0.7275
7879,36.0,0.3787
7985,37.0,0.1322
8090,36.0,-0.1106
8197,36.0,-0.2721
8302,34.0,-0.3602
8408,34.0,-0.3841
8514,35.0,-0.3259
8620,36.0,-0.1049
8725,35.0,0.3413
8830,35.0,0.9396
8937,34.0,1.1155
9042,35.0,1.1595
9148,36.0,1.1048
9254,35.0,0.8139
9360,37.0,0.5542
9465,36.0,0.286
9571,36.0,0.0269
9677,35.0,-0.287
9783,35.0,-0.3622
9888,38.0,-0.4045
9994,34.0,-0.4074
10100,36.0,-0.3309
10206,36.0,0.1305
10311,36.0,0.6456
10418,35.0,0.9758
10523,36.0,1.1048
10629,35.0,1.1346
10735,36.0,1.0296
10841,36.0,0.884
10946,38.0,0.7608
11052,34.0,0.5824
11158,36.0,0.3149
11264,36.0,-0.0092
11369,36.0,-0.2335
11475,37.0,-0.3941
11581,35.0,-0.3952
11686,36.0,-0.2999
11793,37.0,-0.0344
11898,35.0,0.343
12004,36.0,0.7689
12110,35.0,0.9808
12216,36.0,1.1424
12321,35.0,1.2089
12428,36.0,1.1981
12533,35.0,1.152
12639,35.0,1.071
12745,35.0,0.9316
12851,35.0,0.5301
12956,35.0,0.1483
13063,35.0,-0.109
13168,36.0,-0.2575
13274,34.0,-0.3725
13379,36.0,-0.3718
13486,35.0,-0.3066
13591,36.0,-0.1666
13697,36.0,0.1852
13803,37.0,0.6654
13908,36.0,1.0077
14014,36.0,1.2136
14120,36.0,1.3071
14226,34.0,1.2593
14331,35.0,1.082
14438,35.0,0.815
14543,37.0,0.3326
14649,36.0,-0.1393
14755,35.0,-0.2675
14861,35.0,-0.3643
14966,35.0,-0.4153
15073,34.0,-0.406
15178,35.0,-0.3607
15284,34.0,-0.2753
15389,36.0,-0.0309
15496,34.0,0.3573
15601,36.0,0.8464
15707,33.0,1.0764
