t_ms,intensidad,pouch,DeltaP,PWM,t_s
10432,6,2,0.0,180,10.432
10483,6,2,0.0,180,10.483
10535,6,2,0.0,180,10.535
10587,6,2,0.177,180,10.587
10639,6,2,1.312,180,10.639
10690,6,2,2.359,180,10.69
10742,6,2,3.597,0,10.742
10793,6,2,3.959,0,10.793
10846,6,2,3.201,0,10.846
10897,6,2,2.241,0,10.897
10949,6,2,1.568,0,10.949
11000,6,2,1.098,0,11.0
11052,6,2,0.769,0,11.052
11104,6,2,0.538,180,11.104
11155,6,2,0.377,180,11.155
11207,6,2,0.441,180,11.207
11259,6,2,0.991,180,11.259
11311,6,2,1.629,180,11.311
11363,6,2,2.328,180,11.363
11414,6,2,3.323,0,11.414
11466,6,2,3.514,0,11.466
11517,6,2,2.889,0,11.517
11570,6,2,2.023,0,11.57
11621,6,2,1.416,0,11.621
11672,6,2,0.991,0,11.672
11724,6,2,0.694,0,11.724
11776,6,2,0.486,180,11.776
11828,6,2,0.34,180,11.828
11879,6,2,0.415,180,11.879
11931,6,2,0.72,180,11.931
11983,6,2,1.439,180,11.983
12035,6,2,2.195,180,12.035
12087,6,2,3.23,180,12.087
12138,6,2,4.207,0,12.138
12195,6,4,3.88,0,12.195
12247,6,4,2.716,0,12.247
12299,6,4,1.901,0,12.299
12350,6,4,1.331,0,12.35
12401,6,4,0.932,0,12.401
12453,6,4,0.652,0,12.453
12505,6,4,0.456,180,12.505
12557,6,4,0.32,180,12.557
12608,6,4,0.401,180,12.608
12660,6,4,0.963,180,12.66
12711,6,4,1.356,180,12.711
12764,6,4,2.39,180,12.764
12816,6,4,2.861,180,12.816
12867,6,4,3.443,0,12.867
12919,6,4,3.598,0,12.919
12971,6,4,2.948,0,12.971
13023,6,4,2.064,0,13.023
13074,6,4,1.445,0,13.074
13125,6,4,1.011,0,13.125
13177,6,4,0.708,0,13.177
13229,6,4,0.496,180,13.229
13281,6,4,0.347,180,13.281
13332,6,4,0.243,180,13.332
13384,6,4,0.852,180,13.384
13435,6,4,1.785,180,13.435
13488,6,4,2.437,180,13.488
13540,6,4,3.399,0,13.54
13591,6,4,3.567,0,13.591
13642,6,4,2.674,0,13.642
13694,6,4,1.872,0,13.694
13746,6,4,1.31,0,13.746
13798,6,4,0.917,0,13.798
13849,6,4,0.642,180,13.849
13901,6,4,0.449,180,13.901
13958,6,8,0.492,180,13.958
14010,6,8,0.344,180,14.01
14061,6,8,0.671,180,14.061
14113,6,8,1.657,180,14.113
14164,6,8,2.601,180,14.164
14217,6,8,3.261,0,14.217
14269,6,8,3.723,0,14.269
14320,6,8,3.289,0,14.32
14371,6,8,2.479,0,14.371
14424,6,8,1.735,0,14.424
14475,6,8,1.215,0,14.475
14527,6,8,0.85,0,14.527
14578,6,8,0.595,180,14.578
14630,6,8,0.417,180,14.63
14682,6,8,0.292,180,14.682
14734,6,8,0.887,180,14.734
14785,6,8,1.808,180,14.785
14837,6,8,2.707,180,14.837
14888,6,8,3.082,180,14.888
14941,6,8,3.598,0,14.941
14992,6,8,3.707,0,14.992
15044,6,8,3.024,0,15.044
15095,6,8,2.117,0,15.095
15148,6,8,1.482,0,15.148
15199,6,8,1.037,0,15.199
15251,6,8,0.726,0,15.251
15302,6,8,0.508,180,15.302
15354,6,8,0.356,180,15.354
15406,6,8,0.426,180,15.406
15458,6,8,0.728,180,15.458
15509,6,8,1.445,180,15.509
15561,6,8,2.452,180,15.561
15612,6,8,3.157,180,15.612
15665,6,8,3.65,0,15.665
15721,6,6,3.996,0,15.721
15773,6,6,2.797,0,15.773
15824,6,6,1.958,0,15.824
15877,6,6,1.371,0,15.877
15928,6,6,0.959,0,15.928
15980,6,6,0.672,0,15.98
16031,6,6,0.47,180,16.031
16083,6,6,0.329,180,16.083
16135,6,6,0.23,180,16.135
16187,6,6,0.844,180,16.187
16238,6,6,1.526,180,16.238
16290,6,6,2.256,180,16.29
16342,6,6,2.514,180,16.342
16394,6,6,2.948,180,16.394
16445,6,6,3.251,0,16.445
16497,6,6,2.958,0,16.497
16548,6,6,2.071,0,16.548
16601,6,6,1.45,0,16.601
16652,6,6,1.015,0,16.652
16704,6,6,0.71,0,16.704
16755,6,6,0.497,180,16.755
16807,6,6,0.348,180,16.807
16859,6,6,0.244,180,16.859
16911,6,6,0.6,180,16.911
16962,6,6,1.355,180,16.962
17014,6,6,1.631,180,17.014
17065,6,6,2.33,180,17.065
17118,6,6,3.324,0,17.118
17169,6,6,3.009,0,17.169
17221,6,6,2.106,0,17.221
17272,6,6,1.475,0,17.272
17325,6,6,1.032,0,17.325
17376,6,6,0.723,0,17.376
17428,6,6,0.506,180,17.428
17484,6,2,0.354,180,17.484
17537,6,2,0.248,180,17.537
17588,6,2,0.856,180,17.588
17640,6,2,1.282,180,17.64
17691,6,2,1.832,180,17.691
17743,6,2,2.723,180,17.743
17795,6,2,3.094,180,17.795
17847,6,2,3.354,0,17.847
17898,6,2,3.283,0,17.898
17950,6,2,2.728,0,17.95
18001,6,2,1.909,0,18.001
18054,6,2,1.337,0,18.054
18105,6,2,0.936,0,18.105
