t_ms,intensidad,pouch,DeltaP,PWM,t_s
12304,6,7,0.0,110,12.304
12346,6,7,0.0,110,12.346
12387,6,7,0.0,110,12.387
12429,6,7,0.0,110,12.429
12471,6,7,0.0,110,12.471
12513,6,7,0.354,110,12.513
12555,6,7,1.001,110,12.555
12597,6,7,0.754,110,12.597
12639,6,7,1.666,110,12.639
12681,6,7,2.537,110,12.681
12723,6,7,1.369,110,12.723
12764,6,7,2.418,110,12.764
12806,6,7,1.321,110,12.806
12848,6,7,2.399,110,12.848
12890,6,7,1.313,110,12.89
12932,6,7,1.385,110,12.932
12974,6,7,0.908,110,12.974
13016,6,7,1.728,110,13.016
13058,6,7,1.045,110,13.058
13100,6,7,0.772,110,13.1
13142,6,7,1.168,110,13.142
13184,6,7,1.327,110,13.184
13225,6,7,0.884,110,13.225
13266,6,7,0.708,110,13.266
13308,6,7,1.648,110,13.308
13350,6,7,0.659,110,13.35
13392,6,7,1.123,110,13.392
13434,6,7,0.449,110,13.434
13476,6,7,1.039,110,13.476
13518,6,7,1.275,110,13.518
13560,6,7,1.369,110,13.56
13602,6,7,0.548,110,13.602
13644,6,7,1.078,110,13.644
13686,6,7,0.785,110,13.686
13727,6,7,1.173,110,13.727
13769,6,7,1.329,110,13.769
13811,6,7,1.391,110,13.811
13853,6,7,0.91,110,13.853
13895,6,7,1.729,110,13.895
13937,6,7,1.551,110,13.937
13979,6,7,1.48,110,13.979
14021,6,7,0.946,110,14.021
14068,6,4,1.238,0,14.068
14110,6,4,0.495,110,14.11
14151,6,4,0.198,110,14.151
14193,6,4,0.079,110,14.193
14235,6,4,0.032,110,14.235
14277,6,4,0.367,110,14.277
14319,6,4,0.147,110,14.319
14361,6,4,0.918,110,14.361
14403,6,4,0.721,110,14.403
14445,6,4,1.148,110,14.445
14487,6,4,0.813,110,14.487
14529,6,4,1.184,110,14.529
14571,6,4,0.474,110,14.571
14612,6,4,1.049,110,14.612
14654,6,4,0.42,110,14.654
14696,6,4,1.027,110,14.696
14738,6,4,0.765,110,14.738
14780,6,4,1.165,110,14.78
14822,6,4,0.82,110,14.822
14864,6,4,0.682,110,14.864
14906,6,4,0.273,110,14.906
14948,6,4,0.463,110,14.948
14990,6,4,0.185,110,14.99
15031,6,4,0.074,110,15.031
15073,6,4,0.889,110,15.073
15115,6,4,0.356,110,15.115
15157,6,4,0.142,110,15.157
15199,6,4,0.411,110,15.199
15241,6,4,0.518,110,15.241
15283,6,4,0.207,110,15.283
15325,6,4,0.942,110,15.325
15367,6,4,0.731,110,15.367
15409,6,4,1.152,110,15.409
15451,6,4,0.461,110,15.451
15492,6,4,1.044,110,15.492
15534,6,4,0.771,110,15.534
15576,6,4,1.168,110,15.576
15618,6,4,0.821,110,15.618
15660,6,4,1.188,110,15.66
15702,6,4,0.829,110,15.702
15744,6,4,1.696,110,15.744
15785,6,4,1.538,110,15.785
15833,6,8,0.615,110,15.833
15875,6,8,0.246,110,15.875
15917,6,8,0.452,110,15.917
15958,6,8,0.535,110,15.958
16000,6,8,0.568,110,16.0
16041,6,8,1.592,110,16.041
16083,6,8,2.002,110,16.083
16125,6,8,2.165,110,16.125
16167,6,8,1.725,110,16.167
16209,6,8,2.56,110,16.209
16251,6,8,2.389,110,16.251
16293,6,8,2.32,110,16.293
16335,6,8,1.787,110,16.335
16377,6,8,2.08,110,16.377
16418,6,8,1.691,110,16.418
16460,6,8,2.041,110,16.46
16502,6,8,1.676,110,16.502
16544,6,8,2.035,110,16.544
16586,6,8,1.673,110,16.586
16628,6,8,2.54,110,16.628
16670,6,8,1.37,110,16.67
16712,6,8,1.913,110,16.712
16754,6,8,1.119,110,16.754
16796,6,8,1.307,110,16.796
16838,6,8,1.382,110,16.838
16880,6,8,1.412,110,16.88
16921,6,8,1.93,110,16.921
16963,6,8,1.631,110,16.963
17005,6,8,1.512,110,17.005
17047,6,8,0.605,110,17.047
17089,6,8,1.607,110,17.089
17131,6,8,2.007,110,17.131
17173,6,8,2.673,110,17.173
17215,6,8,1.423,110,17.215
17257,6,8,1.429,110,17.257
17299,6,8,1.431,110,17.299
17341,6,8,2.443,110,17.341
17383,6,8,1.331,110,17.383
17424,6,8,2.403,110,17.424
17466,6,8,2.326,110,17.466
17508,6,8,2.801,110,17.508
17550,6,8,1.98,110,17.55
17597,6,1,1.651,0,17.597
17639,6,1,0.66,0,17.639
17681,6,1,0.264,110,17.681
17723,6,1,0.106,110,17.723
17765,6,1,0.042,110,17.765
17806,6,1,0.017,110,17.806
17848,6,1,0.007,110,17.848
17890,6,1,0.357,110,17.89
17932,6,1,0.143,110,17.932
17974,6,1,1.422,110,17.974
18016,6,1,1.428,110,18.016
18058,6,1,1.936,110,18.058
18100,6,1,1.634,110,18.1
18142,6,1,2.018,110,18.142
18184,6,1,2.172,110,18.184
18226,6,1,2.234,110,18.226
18267,6,1,1.247,110,18.267
18309,6,1,1.358,110,18.309
18351,6,1,1.403,110,18.351
18393,6,1,1.42,110,18.393
18435,6,1,0.922,110,18.435
18477,6,1,1.734,110,18.477
18519,6,1,1.047,110,18.519
18561,6,1,0.773,110,18.561
18603,6,1,1.168,110,18.603
18644,6,1,0.821,110,18.644
18686,6,1,1.188,110,18.686
18727,6,1,0.475,110,18.727
18769,6,1,1.049,110,18.769
18811,6,1,0.42,110,18.811
18853,6,1,1.533,110,18.853
18895,6,1,0.967,110,18.895
18937,6,1,1.752,110,18.937
18979,6,1,0.701,110,18.979
19021,6,1,1.14,110,19.021
19063,6,1,1.315,110,19.063
19105,6,1,1.891,110,19.105
19147,6,1,1.616,110,19.147
19189,6,1,2.011,110,19.189
19230,6,1,1.158,110,19.23
19272,6,1,1.828,110,19.272
19314,6,1,1.085,110,19.314
19361,6,5,1.293,0,19.361
19403,6,5,0.517,110,19.403
19445,6,5,0.207,110,19.445
19487,6,5,0.083,110,19.487
19529,6,5,0.033,110,19.529
19571,6,5,0.367,110,19.571
19612,6,5,1.006,110,19.612
19654,6,5,1.767,110,19.654
19696,6,5,1.566,110,19.696
19738,6,5,1.991,110,19.738
19780,6,5,2.161,110,19.78
19822,6,5,2.735,110,19.822
19864,6,5,2.459,110,19.864
19906,6,5,2.854,110,19.906
19948,6,5,2.001,110,19.948
19990,6,5,2.165,110,19.99
20032,6,5,1.725,110,20.032
20074,6,5,2.56,110,20.074
20115,6,5,1.883,110,20.115
20157,6,5,2.118,110,20.157
20199,6,5,1.707,110,20.199
20241,6,5,1.036,110,20.241
20283,6,5,1.779,110,20.283
20325,6,5,1.571,110,20.325
20367,6,5,0.628,110,20.367
20409,6,5,0.605,110,20.409
20451,6,5,1.101,110,20.451
20493,6,5,1.3,110,20.493
20535,6,5,1.885,110,20.535
20576,6,5,1.613,110,20.576
20618,6,5,2.01,110,20.618
20660,6,5,1.158,110,20.66
20702,6,5,1.322,110,20.702
20744,6,5,1.894,110,20.744
20786,6,5,1.617,110,20.786
20828,6,5,1.506,110,20.828
20870,6,5,1.967,110,20.87
20912,6,5,1.646,110,20.912
20954,6,5,2.529,110,20.954
20996,6,5,2.376,110,20.996
21038,6,5,2.315,110,21.038
21079,6,5,1.785,110,21.079
21126,6,9,2.079,0,21.126
21168,6,9,0.832,0,21.168
21210,6,9,0.333,110,21.21
21252,6,9,0.133,110,21.252
21294,6,9,0.053,110,21.294
21336,6,9,0.021,110,21.336
21378,6,9,0.009,110,21.378
21419,6,9,0.357,110,21.419
21460,6,9,0.497,110,21.46
21502,6,9,1.563,110,21.502
21544,6,9,0.979,110,21.544
21586,6,9,1.251,110,21.586
21628,6,9,1.36,110,21.628
21670,6,9,1.909,110,21.67
21712,6,9,1.117,110,21.712
21754,6,9,1.812,110,21.754
21796,6,9,1.079,110,21.796
21838,6,9,1.796,110,21.838
21879,6,9,1.578,110,21.879
21921,6,9,1.49,110,21.921
21963,6,9,0.596,110,21.963
22005,6,9,1.603,110,22.005
22047,6,9,0.995,110,22.047
22089,6,9,1.257,110,22.089
22131,6,9,1.362,110,22.131
22173,6,9,1.404,110,22.173
22215,6,9,1.421,110,22.215
22257,6,9,0.568,110,22.257
22299,6,9,1.087,110,22.299
22340,6,9,1.294,110,22.34
22382,6,9,0.871,110,22.382
22424,6,9,0.702,110,22.424
22466,6,9,0.281,110,22.466
22508,6,9,0.972,110,22.508
22550,6,9,0.389,110,22.55
22592,6,9,0.155,110,22.592
22634,6,9,1.427,110,22.634
22676,6,9,0.925,110,22.676
22718,6,9,1.229,110,22.718
22760,6,9,0.492,110,22.76
22801,6,9,1.056,110,22.801
22843,6,9,1.282,110,22.843
22890,6,2,0.867,0,22.89
22932,6,2,0.347,110,22.932
22974,6,2,0.139,110,22.974
23016,6,2,0.055,110,23.016
23058,6,2,0.022,110,23.058
23100,6,2,0.009,110,23.1
23142,6,2,0.863,110,23.142
23183,6,2,1.204,110,23.183
23225,6,2,1.341,110,23.225
23267,6,2,1.396,110,23.267
23309,6,2,0.912,110,23.309
23351,6,2,1.224,110,23.351
23393,6,2,1.349,110,23.393
23435,6,2,1.904,110,23.435
23477,6,2,1.621,110,23.477
23519,6,2,2.013,110,23.519
