t_ms,intensidad,pouch,DeltaP,PWM,t_s
13805,4,1,0.0,255,13.805
13847,4,1,0.0,255,13.847
13888,4,1,0.0,255,13.888
13930,4,1,0.143,255,13.93
13972,4,1,0.609,255,13.972
14014,4,1,1.113,255,14.014
14056,4,1,1.734,255,14.056
14098,4,1,2.378,255,14.098
14140,4,1,2.957,255,14.14
14182,4,1,3.395,255,14.182
14224,4,1,3.788,255,14.224
14266,4,1,4.058,255,14.266
14307,4,1,4.217,255,14.307
14349,4,1,4.444,255,14.349
14391,4,1,4.564,255,14.391
14433,4,1,4.672,255,14.433
14475,4,1,4.853,255,14.475
14517,4,1,4.848,255,14.517
14559,4,1,5.012,255,14.559
14601,4,1,4.991,255,14.601
14643,4,1,5.056,255,14.643
14685,4,1,5.031,255,14.685
14727,4,1,5.177,255,14.727
14769,4,1,5.139,255,14.769
14811,4,1,5.274,255,14.811
14852,4,1,5.227,255,14.852
14894,4,1,5.269,255,14.894
14936,4,1,5.222,255,14.936
14978,4,1,5.348,255,14.978
15020,4,1,5.294,255,15.02
15062,4,1,5.413,255,15.062
15104,4,1,5.268,255,15.104
15145,4,1,5.39,255,15.145
15187,4,1,5.331,255,15.187
15229,4,1,5.531,255,15.229
15271,4,1,5.458,255,15.271
15313,4,1,5.477,255,15.313
15354,4,1,5.493,255,15.354
15396,4,1,5.424,255,15.396
15438,4,1,5.362,255,15.438
15480,4,1,5.306,255,15.48
15522,4,1,5.256,255,15.522
15569,4,4,5.126,0,15.569
15611,4,4,4.757,0,15.611
15653,4,4,4.281,0,15.653
15695,4,4,3.853,255,15.695
15736,4,4,3.468,255,15.736
15778,4,4,3.18,255,15.778
15820,4,4,3.005,255,15.82
15862,4,4,2.932,255,15.862
15904,4,4,3.035,255,15.904
15946,4,4,3.211,255,15.946
15988,4,4,3.371,255,15.988
16030,4,4,3.429,255,16.03
16072,4,4,3.482,255,16.072
16114,4,4,3.53,255,16.114
16156,4,4,3.489,255,16.156
16198,4,4,3.62,255,16.198
16239,4,4,3.654,255,16.239
16281,4,4,3.769,255,16.281
16323,4,4,3.872,255,16.323
16365,4,4,3.965,255,16.365
16407,4,4,4.049,255,16.407
16449,4,4,3.956,255,16.449
16491,4,4,4.04,255,16.491
16533,4,4,3.948,255,16.533
16575,4,4,4.033,255,16.575
16617,4,4,4.026,255,16.617
16659,4,4,4.104,255,16.659
16701,4,4,4.005,255,16.701
16742,4,4,4.169,255,16.742
16784,4,4,4.232,255,16.784
16826,4,4,4.289,255,16.826
16868,4,4,4.256,255,16.868
16910,4,4,4.311,255,16.91
16952,4,4,4.36,255,16.952
16994,4,4,4.488,255,16.994
17036,4,4,4.52,255,17.036
17078,4,4,4.548,255,17.078
17120,4,4,4.489,255,17.12
17162,4,4,4.605,255,17.162
17204,4,4,4.54,255,17.204
17245,4,4,4.651,255,17.245
17287,4,4,4.666,255,17.287
17334,4,7,4.595,0,17.334
17376,4,7,4.195,0,17.376
17418,4,7,3.775,255,17.418
17460,4,7,3.398,255,17.46
17502,4,7,3.201,255,17.502
17544,4,7,3.277,255,17.544
17586,4,7,3.261,255,17.586
17628,4,7,3.415,255,17.628
17669,4,7,3.554,255,17.669
17711,4,7,3.763,255,17.711
17753,4,7,3.783,255,17.753
17795,4,7,4.053,255,17.795
17837,4,7,4.128,255,17.837
17879,4,7,4.111,255,17.879
17921,4,7,4.096,255,17.921
