t_ms,intensidad,pouch,DeltaP,PWM,t_s
15195,4,2,0.0,255,15.195
15237,4,2,0.0,255,15.237
15278,4,2,0.0,255,15.278
15320,4,2,0.227,255,15.32
15362,4,2,0.601,255,15.362
15404,4,2,1.189,255,15.404
15446,4,2,1.719,255,15.446
15488,4,2,1.547,255,15.488
15529,4,2,2.21,255,15.529
15571,4,2,2.806,255,15.571
15613,4,2,3.174,255,15.613
15655,4,2,3.59,255,15.655
15696,4,2,3.879,255,15.696
15738,4,2,4.224,255,15.738
15780,4,2,4.366,255,15.78
15822,4,2,4.578,255,15.822
15864,4,2,4.769,255,15.864
15906,4,2,4.941,255,15.906
15948,4,2,5.011,255,15.948
15990,4,2,5.075,255,15.99
16032,4,2,5.047,255,16.032
16074,4,2,5.107,255,16.074
16116,4,2,5.245,255,16.116
16158,4,2,5.369,255,16.158
16199,4,2,5.313,255,16.199
16241,4,2,5.346,255,16.241
16283,4,2,5.291,255,16.283
16325,4,2,5.579,255,16.325
16367,4,2,5.586,255,16.367
16409,4,2,5.76,255,16.409
16451,4,2,5.665,255,16.451
16493,4,2,5.747,255,16.493
16535,4,2,5.737,255,16.535
16577,4,2,5.643,255,16.577
16619,4,2,5.559,255,16.619
16661,4,2,5.399,255,16.661
16703,4,2,5.508,255,16.703
16744,4,2,5.522,255,16.744
16786,4,2,5.534,255,16.786
16828,4,2,5.461,255,16.828
16870,4,2,5.479,255,16.87
16912,4,2,5.411,255,16.912
16959,4,4,5.519,0,16.959
17001,4,4,5.11,0,17.001
17043,4,4,4.599,0,17.043
17085,4,4,4.139,0,17.085
17126,4,4,3.725,255,17.126
17168,4,4,3.353,255,17.168
17210,4,4,3.018,255,17.21
17252,4,4,2.859,255,17.252
17294,4,4,2.969,255,17.294
17336,4,4,2.984,255,17.336
17378,4,4,3.166,255,17.378
17420,4,4,3.498,255,17.42
17462,4,4,3.544,255,17.462
17504,4,4,3.67,255,17.504
17545,4,4,3.783,255,17.545
17587,4,4,3.969,255,17.587
17629,4,4,4.052,255,17.629
17671,4,4,4.212,255,17.671
17713,4,4,4.355,255,17.713
17755,4,4,4.4,255,17.755
17797,4,4,4.356,255,17.797
17839,4,4,4.485,255,17.839
17881,4,4,4.516,255,17.881
17923,4,4,4.629,255,17.923
17965,4,4,4.562,255,17.965
18007,4,4,4.67,255,18.007
18049,4,4,4.599,255,18.049
18089,4,4,4.704,255,18.089
18131,4,4,4.714,255,18.131
18173,4,4,4.807,255,18.173
18215,4,4,4.722,255,18.215
18257,4,4,4.814,255,18.257
18299,4,4,4.729,255,18.299
18341,4,4,4.82,255,18.341
18383,4,4,4.819,255,18.383
18425,4,4,4.901,255,18.425
18467,4,4,4.891,255,18.467
18509,4,4,4.882,255,18.509
18551,4,4,4.959,255,18.551
18592,4,4,4.859,255,18.592
18634,4,4,4.937,255,18.634
18676,4,4,4.839,255,18.676
18723,4,8,4.92,0,18.723
18765,4,8,4.428,0,18.765
18807,4,8,4.044,0,18.807
18849,4,8,3.64,255,18.849
18891,4,8,3.276,255,18.891
18933,4,8,3.007,255,18.933
18974,4,8,3.018,255,18.974
19016,4,8,3.028,255,19.016
19058,4,8,3.29,255,19.058
19100,4,8,3.357,255,19.1
19142,4,8,3.67,255,19.142
19184,4,8,3.867,255,19.184
19226,4,8,4.045,255,19.226
19268,4,8,4.205,255,19.268
19310,4,8,4.349,255,19.31
19352,4,8,4.478,255,19.352
19394,4,8,4.679,255,19.394
19435,4,8,4.776,255,19.435
19477,4,8,5.031,255,19.477
19519,4,8,5.177,255,19.519
19561,4,8,5.224,255,19.561
19603,4,8,5.35,255,19.603
19645,4,8,5.379,255,19.645
19687,4,8,5.406,255,19.687
19729,4,8,5.43,255,19.729
19771,4,8,5.535,255,19.771
19813,4,8,5.546,255,19.813
19855,4,8,5.556,255,19.855
19897,4,8,5.649,255,19.897
19939,4,8,5.733,255,19.939
19980,4,8,5.724,255,19.98
20022,4,8,5.8,255,20.022
20064,4,8,5.701,255,20.064
20106,4,8,5.779,255,20.106
20148,4,8,5.85,255,20.148
20190,4,8,5.914,255,20.19
20232,4,8,5.887,255,20.232
20274,4,8,6.031,255,20.274
20316,4,8,5.992,255,20.316
20358,4,8,5.958,255,20.358
20400,4,8,5.926,255,20.4
20442,4,8,5.982,255,20.442
20488,4,6,5.949,0,20.488
20530,4,6,5.354,0,20.53
20572,4,6,4.818,0,20.572
20614,4,6,4.337,0,20.614
20656,4,6,3.903,0,20.656
20698,4,6,3.513,255,20.698
20739,4,6,3.161,255,20.739
20781,4,6,2.845,255,20.781
20823,4,6,2.788,255,20.823
20865,4,6,2.905,255,20.865
20907,4,6,3.095,255,20.907
20948,4,6,3.266,255,20.948
20990,4,6,3.588,255,20.99
21032,4,6,3.625,255,21.032
21074,4,6,3.827,255,21.074
21116,4,6,3.84,255,21.116
21158,4,6,3.936,255,21.158
21199,4,6,4.107,255,21.199
21241,4,6,4.092,255,21.241
21283,4,6,3.995,255,21.283
21325,4,6,4.16,255,21.325
21367,4,6,4.14,255,21.367
21409,4,6,3.869,255,21.409
21451,4,6,3.962,255,21.451
21493,4,6,3.962,255,21.493
21535,4,6,3.962,255,21.535
21577,4,6,3.962,255,21.577
21619,4,6,3.877,255,21.619
21661,4,6,3.97,255,21.661
21703,4,6,3.969,255,21.703
21744,4,6,3.968,255,21.744
21786,4,6,4.051,255,21.786
21828,4,6,4.042,255,21.828
21870,4,6,4.034,255,21.87
21912,4,6,4.026,255,21.912
21954,4,6,4.02,255,21.954
21996,4,6,4.098,255,21.996
22038,4,6,4.168,255,22.038
22080,4,6,4.232,255,22.08
22122,4,6,4.373,255,22.122
22164,4,6,4.247,255,22.164
22206,4,6,4.219,255,22.206
22252,4,2,4.277,0,22.252
22294,4,2,3.849,255,22.294
22336,4,2,3.464,255,22.336
22378,4,2,3.177,255,22.378
22420,4,2,3.171,255,22.42
22462,4,2,3.334,255,22.462
22504,4,2,3.565,255,22.504
22546,4,2,3.689,255,22.546
22588,4,2,3.884,255,22.588
22630,4,2,4.145,255,22.63
22672,4,2,4.379,255,22.672
